Kepler-080b       	0.0218	0.238	1.04	546
Kepler-080c       	0.0212	0.244	0.92	494
Kepler-087b       	1.02	1.203	0.55	478
Kepler-087c       	0.0201	0.548	0.115	403
Kepler-089b       	0.033	0.153	7.6	1486
Kepler-089c       	0.049	0.385	0.69	1012
Kepler-089d       	0.333	1.005	0.274	806
Kepler-089e       	0.11	0.585	0.45	584
Kepler-093b       	0.0126	0.1319	5.19	1037
Kepler-101b       	0.161	0.515	1.09	1513
Kepler-107b       	0.011	0.137	4	1593
Kepler-107c       	0.0295	0.1425	9.5	1379
Kepler-107e       	0.027	0.2589	1.51	955
Kepler-117b       	0.094	0.719	0.23	984
Kepler-117c       	1.84	1.101	1.31	704
Kepler-411b       	0.081	0.214	7.71	1138
Kepler-411c       	0.083	0.394	1.18	838
Kepler-411d       	0.048	0.296	1.74	410
Kepler-420        	1.45	0.94	1.6	511
Kepler-423        	0.595	1.192	0.346	1605
Kepler-425        	0.25	0.978	0.2	1070
Kepler-426        	0.34	1.09	0.2	1300
Kepler-427        	0.29	1.23	0.12	1100
Kepler-428        	1.27	1.08	0.77	1070
Kepler-432        	5.41	1.145	3.36	942
Kepler-433        	2.82	1.45	0.85	1776
Kepler-434        	2.86	1.13	1.8	1000
Kepler-435        	0.84	1.99	0.099	1729
Kepler-503        	78.6	0.96	81	1296
Kepler-539        	0.97	0.747	2.18	388
Kepler-1656       	0.153	0.448	1.61	651
KOI-205           	40.8	0.82	68.5	737
KOI-3680          	1.93	0.99	1.85	347
KPS-1             	1.09	1.03	0.99	1459
LHS_1140b         	0.022	0.1541	5.65	235
LHS_1140c         	0.0057	0.1144	3.54	438
LHS_6343          	62.1	0.783	130	358
MASCARA-1         	3.7	1.5	1.1	2570
NGTS-1            	0.812	1.33	0.32	790
NGTS-2            	0.67	1.536	0.183	1638
OGLE-TR-010       	0.68	1.72	0.13	1702
OGLE-TR-056       	1.41	1.734	0.253	2482
OGLE-TR-111       	0.55	1.011	0.49	1019
OGLE-TR-113       	1.23	1.088	0.89	1342
OGLE-TR-132       	1.17	1.229	0.59	1991
OGLE-TR-182       	1.06	1.47	0.33	1550
OGLE-TR-211       	0.75	1.262	0.37	1686
OGLE-TR-L9        	4.4	1.633	0.94	2034
Qatar-1           	1.294	1.143	0.811	1418
Qatar-2           	2.466	1.115	1.776	1285
Qatar-3           	4.31	1.096	3	1681
Qatar-4           	6.1	1.135	3.8	1385
Qatar-5           	4.32	1.107	2.98	1415
Qatar-6           	0.668	1.062	0.51	1006
Qatar-7           	1.88	1.7	0.378	2053
Qatar-8           	0.371	1.285	0.163	1457
Qatar-9           	1.19	1.009	1.08	1134
